                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4126,                 3.6492,                 4.2846,                0.00319,                0.66197,                0.00756,                0.00301,                 3.2348,                 3.4745,                  4.159,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.9975,                 3.5587,                 4.2706,                0.00326,                0.67606,                0.00816,                0.00326,                 3.2334,                 3.4741,                  4.159,             0.00013861,             0.00013861,             0.00013861
                      3,                 3.2311,                 3.5734,                 4.2317,                0.00324,                0.66197,                0.00926,                 0.0038,                 3.2333,                 3.4732,                  4.157,             0.00021564,             0.00021564,             0.00021564
                      4,                 3.5113,                 3.5325,                 4.2835,                0.00326,                0.67606,                0.00818,                0.00346,                 3.2284,                 3.4729,                 4.1547,             0.00029109,             0.00029109,             0.00029109
                      5,                 3.4437,                 3.4631,                 4.2176,                0.00318,                0.66197,                0.01035,                0.00439,                 3.2277,                 3.4754,                 4.1532,             0.00036495,             0.00036495,             0.00036495
                      6,                  3.264,                 3.4558,                 4.1952,                0.00327,                0.67606,                0.01393,                0.00604,                  3.223,                 3.4753,                 4.1495,             0.00043723,             0.00043723,             0.00043723
                      7,                  3.255,                 3.4386,                 4.1753,                0.00319,                0.66197,                0.01523,                0.00609,                 3.2188,                 3.4718,                 4.1451,             0.00050792,             0.00050792,             0.00050792
                      8,                 3.4737,                 3.3971,                 4.1596,                0.00326,                0.67606,                0.01136,                0.00516,                 3.2176,                 3.4734,                 4.1411,             0.00057703,             0.00057703,             0.00057703
                      9,                 3.1766,                 3.3361,                 4.1211,                0.00327,                0.67606,                0.01311,                0.00499,                 3.2134,                 3.4828,                  4.135,             0.00064456,             0.00064456,             0.00064456
                     10,                  3.122,                 3.2985,                 4.0382,                0.00317,                0.66197,                0.01308,                0.00501,                 3.1995,                 3.4754,                 4.1177,              0.0007105,              0.0007105,              0.0007105
                     11,                 3.0082,                 3.3735,                 4.0427,                0.00332,                0.69014,                0.01544,                0.00544,                 3.1754,                  3.503,                 4.0797,             0.00077486,             0.00077486,             0.00077486
                     12,                 3.3517,                 3.4961,                  3.962,                0.00327,                0.67606,                0.01546,                0.00632,                 3.1608,                 3.5079,                 4.0582,             0.00083763,             0.00083763,             0.00083763
                     13,                 3.2157,                 3.3971,                 3.9713,                 0.0032,                0.66197,                0.01781,                0.00624,                 3.1506,                 3.5212,                 4.0244,             0.00089882,             0.00089882,             0.00089882
                     14,                 3.0424,                 3.4105,                 3.9489,                0.00336,                0.69014,                0.04533,                0.01166,                 3.1769,                 3.5105,                 4.0702,             0.00095843,             0.00095843,             0.00095843
                     15,                 3.1047,                 3.3348,                 3.9058,                0.00338,                0.69014,                0.01245,                0.00421,                 3.2776,                 3.6321,                 4.1806,              0.0010165,              0.0010165,              0.0010165
                     16,                 3.0267,                 3.2779,                 3.7907,                0.00332,                0.64789,                0.01099,                0.00395,                 3.4613,                 3.7069,                 4.3723,              0.0010729,              0.0010729,              0.0010729
                     17,                 3.0492,                 3.2595,                 3.7875,                0.00376,                 0.6338,                0.01151,                0.00395,                 3.5091,                 3.7531,                 4.4569,              0.0011277,              0.0011277,              0.0011277
                     18,                 3.0959,                 3.4125,                 3.8077,                0.00377,                0.64789,                0.01375,                0.00445,                 3.4481,                 3.6984,                 4.4177,               0.001181,               0.001181,               0.001181
                     19,                 3.0533,                 3.3242,                 3.7101,                0.00387,                0.64789,                0.01042,                0.00374,                 3.4363,                 3.3931,                 4.5427,              0.0012327,              0.0012327,              0.0012327
                     20,                  3.018,                 3.3151,                 3.7087,                 0.0038,                 0.6338,                0.04181,                0.01257,                 3.3327,                 3.3735,                 4.9382,              0.0012828,              0.0012828,              0.0012828
                     21,                 2.6879,                 3.3931,                 3.6134,                0.00885,                0.56338,                0.03391,                0.00795,                 3.2282,                 3.4288,                 5.5475,              0.0013313,              0.0013313,              0.0013313
                     22,                 2.8682,                 3.2084,                 3.6154,                0.00937,                0.57746,                0.01389,                0.00495,                  3.237,                 3.4852,                 6.1957,              0.0013783,              0.0013783,              0.0013783
                     23,                 2.8482,                 3.1911,                 3.5638,                0.00983,                0.56338,                 0.0188,                0.00665,                 3.2456,                 3.5085,                 6.0298,              0.0014236,              0.0014236,              0.0014236
                     24,                 2.8791,                 3.1695,                 3.5207,                0.00928,                0.53521,                0.02149,                0.00736,                 3.2713,                 3.4379,                 5.1811,              0.0014674,              0.0014674,              0.0014674
                     25,                 2.9134,                 3.1868,                 3.5032,                0.00894,                0.56338,                0.04565,                0.01374,                 3.2958,                 3.4034,                  4.488,              0.0015096,              0.0015096,              0.0015096
                     26,                 2.7597,                 3.3365,                 3.5101,                0.00956,                0.56338,                 0.0503,                0.01364,                 3.3041,                 3.4531,                  4.499,               0.001505,               0.001505,               0.001505
                     27,                 3.1608,                 3.2545,                 3.4859,                0.00865,                 0.5493,                0.04779,                0.01279,                 3.2779,                 3.5053,                 4.4353,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.8196,                 3.0479,                 3.4241,                0.05375,                0.01408,                0.05983,                0.01766,                 3.2205,                 3.5191,                 4.3893,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.7453,                 3.0262,                 3.3445,                 0.1078,                0.04225,                0.05133,                0.01561,                 3.1029,                 3.3791,                 4.1649,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.9454,                 3.0356,                 3.3966,                0.09117,                0.01408,                0.04814,                0.01381,                 3.0993,                 3.2895,                 4.0959,              0.0014258,              0.0014258,              0.0014258
                     31,                  2.763,                 3.1085,                 3.4151,                0.07233,                0.02817,                0.05054,                0.01676,                 3.1368,                 3.2983,                 4.2155,               0.001406,               0.001406,               0.001406
                     32,                 2.7833,                 2.9855,                 3.3636,                0.11914,                0.04225,                0.03292,                0.00967,                 3.0822,                  3.361,                 4.2627,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.8289,                 3.2916,                 3.3955,                0.11907,                0.04225,                0.02873,                0.00862,                 2.8627,                 3.4491,                 4.0584,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.8689,                 3.0873,                 3.3671,                0.03294,                 0.1831,                0.02508,                0.00776,                 2.7714,                 3.7058,                 3.8723,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.8557,                 3.0764,                 3.3479,                0.02862,                0.08451,                0.01746,                0.00578,                 2.7953,                 4.0063,                 3.8743,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.7197,                 3.0551,                 3.2278,                0.02953,                0.19718,                0.01801,                0.00623,                  2.771,                 3.8971,                 3.8441,               0.001307,               0.001307,               0.001307
                     37,                 2.7204,                 2.9819,                 3.2391,                0.03251,                0.09859,                0.01658,                0.00572,                  2.808,                 4.3539,                  3.703,              0.0012872,              0.0012872,              0.0012872
                     38,                  2.864,                  2.956,                 3.1765,                0.03444,                0.08451,                0.01651,                0.00529,                 2.8218,                 6.6701,                 3.5477,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.6719,                   2.94,                   3.15,                0.03842,                0.15493,                0.02131,                0.00706,                 2.8416,                 8.2489,                 3.4789,              0.0012476,              0.0012476,              0.0012476
                     40,                  2.729,                 3.4786,                 3.4453,                0.11945,                0.07042,                0.03391,                0.00971,                 2.8453,                 7.4945,                 3.4742,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.6809,                 2.7731,                 3.1398,                0.09034,                0.15493,                0.02896,                0.00797,                 2.6972,                 5.8738,                 3.4925,               0.001208,               0.001208,               0.001208
                     42,                 2.7889,                 2.7984,                 3.2001,                0.11862,                0.11268,                0.04126,                0.01291,                 2.6339,                 4.9122,                 3.4249,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.9153,                 2.9656,                 3.2006,                0.10086,                0.15493,                0.06151,                0.01982,                 2.5941,                 4.7597,                 3.3923,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.5712,                 2.8794,                 3.1261,                0.16522,                0.12676,                0.07528,                0.02297,                 2.6026,                 4.6575,                 3.4412,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.6822,                 2.8013,                 3.0727,                0.13691,                0.15493,                0.09714,                0.03279,                 2.5598,                 4.9801,                 3.4078,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.8948,                 3.0203,                 3.0947,                 0.2438,                0.11268,                0.11289,                0.03615,                 2.5372,                 5.6803,                 3.3496,               0.001109,               0.001109,               0.001109
                     47,                 2.6543,                 2.7971,                 3.0716,                0.17904,                0.13214,                0.08958,                0.02751,                 2.5892,                 8.6644,                 3.2512,              0.0010892,              0.0010892,              0.0010892
                     48,                  2.529,                 2.6539,                 3.0273,                0.12812,                0.29577,                0.10516,                0.03164,                 2.5839,                 6.5357,                 3.2197,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.6671,                 2.8686,                 3.1811,                 0.1662,                0.23944,                0.09375,                0.02952,                 2.5312,                 7.2957,                 3.1608,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.5455,                 2.8407,                 3.0953,                0.11911,                0.26761,                0.08633,                0.02749,                 2.4988,                 6.3806,                 3.1484,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.5549,                 2.8892,                 3.1278,                0.12301,                0.35211,                 0.0957,                0.02874,                 2.4938,                  4.537,                  3.146,                0.00101,                0.00101,                0.00101
                     52,                 2.5724,                 2.8489,                 3.0258,                0.11339,                0.30986,                0.10361,                0.03705,                 2.4518,                 3.5198,                 3.1289,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.4287,                   2.84,                 3.0574,                0.21646,                0.19718,                0.13926,                0.04763,                 2.4446,                 3.2558,                 3.1018,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.5003,                 2.7975,                 3.0354,                0.21409,                0.26761,                0.17479,                0.05888,                 2.4116,                 3.2723,                 3.0554,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.5991,                 2.9707,                 3.1152,                 0.2862,                0.26761,                0.21599,                0.06667,                 2.4785,                 3.2668,                 3.0889,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.3524,                 2.8344,                 3.0149,                0.27619,                0.26761,                0.14996,                0.03523,                 2.6522,                 3.1555,                 3.1577,               0.000911,               0.000911,               0.000911
                     57,                 2.4633,                 2.6084,                 2.9045,                0.22315,                0.30986,                0.14027,                  0.033,                 2.6578,                 3.1653,                  3.146,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.4209,                 2.7672,                 3.0208,                0.20178,                0.33803,                0.16128,                0.04264,                 2.5413,                 3.1112,                 3.0508,              0.0008714,              0.0008714,              0.0008714
                     59,                  2.486,                 2.6721,                 2.9604,                0.25278,                0.32394,                0.19683,                0.05592,                 2.4235,                 3.1406,                 2.9846,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.5775,                 2.6361,                  3.076,                0.23459,                0.23944,                0.19952,                 0.0547,                 2.4246,                 3.3729,                 2.9862,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.4827,                 2.7124,                 2.9957,                0.25996,                0.23944,                0.16572,                0.04492,                 2.4165,                 3.5503,                 2.9789,               0.000812,               0.000812,               0.000812
                     62,                 2.4036,                  2.768,                 3.0189,                0.25141,                0.19718,                0.14932,                0.04625,                 2.4379,                 3.3761,                 3.0168,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.3227,                 2.6753,                  2.912,                0.16611,                0.26761,                0.13374,                0.04305,                 2.4467,                 3.2602,                 3.0085,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.4426,                 2.4529,                 2.9454,                 0.2137,                0.29577,                0.19283,                0.06083,                 2.4219,                 3.1136,                 2.9581,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.3394,                 2.4732,                 2.8863,                0.26327,                0.28169,                0.21159,                0.07038,                 2.3848,                  2.864,                  2.931,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.3282,                   2.53,                 2.8779,                0.25854,                0.35211,                0.20664,                0.06894,                 2.3565,                 2.7917,                 2.9375,               0.000713,               0.000713,               0.000713
                     67,                 2.2151,                  2.539,                 2.8448,                0.21524,                0.35211,                0.18632,                0.06473,                  2.317,                 2.8247,                 2.9284,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.3979,                 2.7422,                 2.9358,                0.27474,                 0.3662,                0.22328,                0.07293,                  2.325,                 2.8848,                 2.8947,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.4367,                 2.5951,                 2.8695,                0.28215,                0.35211,                0.24389,                0.07709,                 2.3753,                 3.0232,                 2.8957,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.3731,                 2.5783,                  2.949,                0.24109,                0.30874,                0.23706,                0.07372,                 2.4404,                 3.0715,                 2.9276,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.3541,                 2.4715,                 2.8522,                 0.2801,                0.30986,                 0.2345,                0.06585,                 2.4349,                 3.0577,                 2.9356,               0.000614,               0.000614,               0.000614
                     72,                 2.3578,                 2.4891,                 2.8316,                0.27098,                0.38219,                0.24728,                0.07798,                 2.3429,                 2.9268,                 2.9059,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.1396,                 2.6476,                 2.7734,                0.25173,                0.30986,                0.25894,                0.09357,                 2.2977,                  2.701,                 2.8808,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.4147,                 2.5731,                 2.8972,                0.27584,                0.38028,                0.28907,                0.10756,                 2.2213,                 2.4832,                 2.8406,              0.0005546,              0.0005546,              0.0005546
                     75,                   2.29,                 2.4607,                  2.915,                 0.2892,                0.38028,                0.29565,                0.10762,                 2.2058,                 2.4121,                 2.8251,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.2407,                 2.5092,                  2.772,                0.32224,                0.38028,                0.29696,                0.10717,                  2.201,                 2.3911,                 2.8182,               0.000515,               0.000515,               0.000515
                     77,                 2.3152,                  2.439,                 2.7737,                0.31456,                0.40845,                  0.293,                0.09931,                 2.2081,                 2.3887,                 2.8199,              0.0004952,              0.0004952,              0.0004952
                     78,                  2.147,                 2.3072,                 2.7737,                0.32151,                0.45386,                0.28037,                0.09206,                  2.241,                 2.3887,                 2.8341,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.1827,                 2.3384,                 2.7046,                0.34282,                0.44821,                0.29458,                0.09212,                 2.2637,                 2.3601,                 2.8477,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.1724,                  2.306,                 2.7616,                0.38303,                0.42254,                0.32289,                0.11003,                 2.2291,                 2.3203,                 2.8123,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.0464,                 2.2328,                 2.6584,                 0.3891,                 0.4507,                 0.3316,                0.13095,                 2.1894,                 2.2827,                 2.7779,               0.000416,               0.000416,               0.000416
                     82,                 2.4278,                 2.4803,                 2.8647,                0.39933,                0.38028,                0.33471,                0.14262,                 2.1508,                 2.2737,                 2.7498,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.2529,                 2.3031,                 2.7679,                0.38946,                0.35211,                0.34454,                0.14771,                 2.1032,                 2.2593,                 2.7254,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.2296,                 2.4063,                 2.7734,                0.39571,                0.42254,                0.36712,                0.15737,                 2.0685,                 2.2329,                 2.6981,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.0393,                 2.2725,                 2.6402,                0.34533,                0.42254,                0.36815,                0.15632,                 2.0746,                 2.2256,                 2.6993,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.0327,                 2.4061,                 2.7304,                0.50247,                0.27032,                0.36749,                0.15484,                 2.0978,                 2.2071,                 2.7113,               0.000317,               0.000317,               0.000317
