                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2257,                 3.4273,                 4.1576,                0.00385,                0.62475,                0.01951,                0.00696,                 3.1026,                 3.4082,                 4.1428,             0.00065497,             0.00065497,             0.00065497
                      2,                 3.0619,                 3.1988,                 3.6835,                0.04013,                 0.0346,                0.01947,                0.00635,                 2.9987,                 3.4884,                 4.1542,              0.0012955,              0.0012955,              0.0012955
                      3,                 2.9034,                 3.0008,                 3.3144,                0.09941,                0.14417,                0.04876,                0.01224,                 2.9463,                 3.6871,                 3.5345,              0.0019096,              0.0019096,              0.0019096
                      4,                 2.7398,                 2.8883,                 3.1189,                0.19749,                0.20093,                0.11094,                0.02618,                 2.8401,                 4.1326,                 3.2807,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.4621,                 2.7378,                  2.951,                0.13259,                0.19827,                0.07257,                0.02354,                 2.4329,                 3.9451,                 3.0059,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.3017,                 2.6092,                 2.7856,                 0.2427,                0.22289,                0.12293,                 0.0437,                 2.4513,                  2.862,                 3.0949,               0.001802,               0.001802,               0.001802
                      7,                 2.2072,                 2.5403,                 2.6611,                0.34755,                 0.3289,                0.25211,                0.09613,                 2.1321,                 3.8262,                 2.7676,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.0593,                 2.3843,                 2.5374,                 0.3371,                0.36061,                0.25793,                0.10521,                 2.0664,                 2.3603,                  2.592,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.0342,                  2.286,                  2.475,                0.52374,                 0.3819,                0.38552,                 0.1864,                 1.9387,                 2.1776,                 2.4446,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8958,                 2.1192,                 2.3688,                0.55129,                0.39454,                0.39786,                0.19713,                 1.8863,                 2.2452,                 2.4365,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.8292,                 2.0373,                 2.2916,                0.44694,                0.41184,                0.37562,                0.19228,                 1.8701,                 2.2256,                 2.4225,               0.001604,               0.001604,               0.001604
